"xllcorner","yllcorner","cellsize","nrows","ncols","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","Vegetation_Code","Vegetation_Group","EVI_Amplitude","EVI_Minimum","EVI_Area","Dormancy","Greenup","MidGreenup","MidGreendown","Maturity","Senescence","EVI_Maximum"
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2001001",2001-01-01,"h17v03",2022070180635,1,"AG","Acid Grass",0.2312,0.12,13.7,296,58,158,272,182,211,0.3512
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2002001",2002-01-01,"h17v03",2022075075940,1,"AG","Acid Grass",0.2572,0.12,15.6,294,93,123,267,157,215,0.3772
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2003001",2003-01-01,"h17v03",2022078114550,1,"AG","Acid Grass",0.2457,0.1588,13.4,299,23,131,276,161,193,0.4045
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2004001",2004-01-01,"h17v03",2022081153530,1,"AG","Acid Grass",0.2234,0.12,12.5,279,61,140,254,169,208,0.3434
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2005001",2005-01-01,"h17v03",2022083212811,1,"AG","Acid Grass",0.1896,0.12,16.3,303,93,138,283,193,246,0.3096
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2006001",2006-01-01,"h17v03",2022084115002,1,"AG","Acid Grass",0.2289,0.12,11.4,284,111,144,261,169,227,0.3489
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2007001",2007-01-01,"h17v03",2022085224510,1,"AG","Acid Grass",0.1999,0.1288,20.9,291,67,109,276,225,254,0.3287
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2008001",2008-01-01,"h17v03",2022094210358,1,"AG","Acid Grass",0.2847,0.1437,14,301,118,167,265,191,228,0.4284
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2009001",2009-01-01,"h17v03",2022096100000,1,"AG","Acid Grass",0.186,0.12,10.7,256,60,113,227,143,184,0.306
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2010001",2010-01-01,"h17v03",2022096153542,1,"AG","Acid Grass",0.2574,0.12,19.6,293,78,154,263,197,235,0.3774
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2011001",2011-01-01,"h17v03",2022101042911,1,"AG","Acid Grass",0.1886,0.12,22.3,290,42,61,267,188,235,0.3086
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2012001",2012-01-01,"h17v03",2022103200224,1,"AG","Acid Grass",0.2075,0.12,20.6,300,77,116,269,201,237,0.3275
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2013001",2013-01-01,"h17v03",2022105153143,1,"AG","Acid Grass",0.174,0.1434,10.9,316,132,150,270,200,236,0.3174
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2014001",2014-01-01,"h17v03",2022110133106,1,"AG","Acid Grass",0.2595,0.12,13,302,94,131,279,158,197,0.3795
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2015001",2015-01-01,"h17v03",2022111220356,1,"AG","Acid Grass",0.3225,0.12,21.5,290,97,163,261,196,234,0.4425
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2016001",2016-01-01,"h17v03",2022113070801,1,"AG","Acid Grass",0.2614,0.12,19.7,307,78,138,253,188,224,0.3814
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2017001",2017-01-01,"h17v03",2022115023625,1,"AG","Acid Grass",0.2265,0.12,13.8,302,60,133,256,163,207,0.3465
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2018001",2018-01-01,"h17v03",2022115212012,1,"AG","Acid Grass",0.2144,0.12,11.3,291,105,139,271,165,240,0.3344
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2019001",2019-01-01,"h17v03",2022116173038,1,"AG","Acid Grass",0.237,0.12,12,294,98,131,276,156,234,0.357
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2020001",2020-01-01,"h17v03",2022117220647,1,"AG","Acid Grass",0.2511,0.12,18.5,292,69,138,265,184,219,0.3711
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2021001",2021-01-01,"h17v03",2022294172643,1,"AG","Acid Grass",0.2371,0.1247,23.2,283,42,135,261,182,237,0.3618
-385012.89,6343677.72,463.312716528,1,1,57.05174,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2022001",2022-01-01,"h17v03",2023221171149,1,"AG","Acid Grass",0.2402,0.12,15.9,288,129,157,269,197,240,0.3602
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2001001",2001-01-01,"h17v03",2022070180635,1,"BB","Blanket Bog",0.2867,0.1788,15.8,320,132,158,283,186,234,0.4655
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2002001",2002-01-01,"h17v03",2022075075940,1,"BB","Blanket Bog",0.3755,0.1374,26.8,306,111,151,277,189,241,0.5129
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2003001",2003-01-01,"h17v03",2022078114550,1,"BB","Blanket Bog",0.3047,0.1645,22.8,318,106,146,288,179,252,0.4692
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2004001",2004-01-01,"h17v03",2022081153530,1,"BB","Blanket Bog",0.3605,0.1256,24.3,322,61,150,289,181,227,0.4861
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2005001",2005-01-01,"h17v03",2022083212811,1,"BB","Blanket Bog",0.3909,0.12,30.2,313,57,150,278,185,239,0.5109
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2006001",2006-01-01,"h17v03",2022084115002,1,"BB","Blanket Bog",0.3276,0.1407,22.4,299,109,154,282,188,248,0.4683
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2007001",2007-01-01,"h17v03",2022085224510,1,"BB","Blanket Bog",0.4011,0.12,32.7,304,54,143,271,181,235,0.5211
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2008001",2008-01-01,"h17v03",2022094210358,1,"BB","Blanket Bog",0.3328,0.1271,27.3,323,48,141,263,184,231,0.4599
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2009001",2009-01-01,"h17v03",2022096100000,1,"BB","Blanket Bog",0.388,0.1243,27.9,308,62,146,275,181,226,0.5123
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2010001",2010-01-01,"h17v03",2022096153542,1,"BB","Blanket Bog",0.4009,0.1364,29.3,312,97,159,280,195,247,0.5373
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2011001",2011-01-01,"h17v03",2022101042911,1,"BB","Blanket Bog",0.3452,0.12,26,324,38,139,277,175,218,0.4652
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2012001",2012-01-01,"h17v03",2022103200224,1,"BB","Blanket Bog",0.3559,0.1577,23.4,313,110,157,279,194,240,0.5136
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2013001",2013-01-01,"h17v03",2022105153143,1,"BB","Blanket Bog",0.3212,0.1596,19.1,308,131,165,277,194,241,0.4808
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2014001",2014-01-01,"h17v03",2022110133106,1,"BB","Blanket Bog",0.3883,0.1617,20.9,312,108,144,271,173,216,0.55
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2015001",2015-01-01,"h17v03",2022111220356,1,"BB","Blanket Bog",0.3937,0.1682,23.6,310,134,167,285,197,249,0.5619
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2016001",2016-01-01,"h17v03",2022113070801,1,"BB","Blanket Bog",0.4019,0.12,29.2,303,47,154,276,186,233,0.5219
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2017001",2017-01-01,"h17v03",2022115023625,1,"BB","Blanket Bog",0.3819,0.1282,31.7,299,30,147,268,181,227,0.5101
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2018001",2018-01-01,"h17v03",2022115212012,1,"BB","Blanket Bog",0.3323,0.173,18,309,131,156,264,185,231,0.5053
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2019001",2019-01-01,"h17v03",2022116173038,1,"BB","Blanket Bog",0.3709,0.12,21.7,315,108,138,282,172,226,0.4909
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2020001",2020-01-01,"h17v03",2022117220647,1,"BB","Blanket Bog",0.4248,0.12,26.9,310,75,142,278,173,231,0.5448
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2021001",2021-01-01,"h17v03",2022294172643,1,"BB","Blanket Bog",0.3754,0.1556,23.4,310,114,154,272,182,232,0.531
-384086.22,6339971.25,463.312716528,1,1,57.0203,-6.343105,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2022001",2022-01-01,"h17v03",2023221171149,1,"BB","Blanket Bog",0.452,0.12,29.3,306,91,147,278,186,228,0.572
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2001001",2001-01-01,"h17v03",2022070180635,1,"BB","Blanket Bog",0.3147,0.12,20.8,318,78,155,280,188,236,0.4347
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2002001",2002-01-01,"h17v03",2022075075940,1,"BB","Blanket Bog",0.2729,0.1422,25.3,305,84,147,284,176,255,0.4151
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2003001",2003-01-01,"h17v03",2022078114550,1,"BB","Blanket Bog",0.2897,0.12,23.3,319,77,132,285,171,238,0.4097
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2004001",2004-01-01,"h17v03",2022081153530,1,"BB","Blanket Bog",0.333,0.1208,21.5,309,85,150,273,180,224,0.4538
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2005001",2005-01-01,"h17v03",2022083212811,1,"BB","Blanket Bog",0.2863,0.1649,18.3,314,127,157,281,189,246,0.4512
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2006001",2006-01-01,"h17v03",2022084115002,1,"BB","Blanket Bog",0.3126,0.1324,21.9,310,120,155,281,188,250,0.445
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2007001",2007-01-01,"h17v03",2022085224510,1,"BB","Blanket Bog",0.3284,0.1512,24.3,313,95,148,273,187,233,0.4796
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2008001",2008-01-01,"h17v03",2022094210358,1,"BB","Blanket Bog",0.2582,0.1645,18.3,316,111,150,264,189,234,0.4227
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2009001",2009-01-01,"h17v03",2022096100000,1,"BB","Blanket Bog",0.3395,0.12,24,297,64,146,271,182,225,0.4595
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2010001",2010-01-01,"h17v03",2022096153542,1,"BB","Blanket Bog",0.3571,0.1215,29.6,307,60,156,280,196,241,0.4786
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2011001",2011-01-01,"h17v03",2022101042911,1,"BB","Blanket Bog",0.2903,0.12,20.4,311,73,137,287,175,222,0.4103
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2012001",2012-01-01,"h17v03",2022103200224,1,"BB","Blanket Bog",0.3426,0.12,24.8,305,91,149,281,190,239,0.4626
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2013001",2013-01-01,"h17v03",2022105153143,1,"BB","Blanket Bog",0.339,0.12,23,300,59,163,273,191,236,0.459
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2014001",2014-01-01,"h17v03",2022110133106,1,"BB","Blanket Bog",0.3545,0.12,27.3,302,62,138,278,174,234,0.4745
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2015001",2015-01-01,"h17v03",2022111220356,1,"BB","Blanket Bog",0.3508,0.1496,23.3,318,116,164,292,196,251,0.5004
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2016001",2016-01-01,"h17v03",2022113070801,1,"BB","Blanket Bog",0.3566,0.12,25.7,300,49,152,270,184,229,0.4766
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2017001",2017-01-01,"h17v03",2022115023625,1,"BB","Blanket Bog",0.3067,0.1545,20.6,304,107,151,275,185,233,0.4612
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2018001",2018-01-01,"h17v03",2022115212012,1,"BB","Blanket Bog",0.3146,0.1514,18.2,303,130,158,264,185,229,0.466
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2019001",2019-01-01,"h17v03",2022116173038,1,"BB","Blanket Bog",0.3344,0.12,21,328,101,136,279,170,224,0.4544
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2020001",2020-01-01,"h17v03",2022117220647,1,"BB","Blanket Bog",0.3774,0.12,25.4,315,79,143,277,178,230,0.4974
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2021001",2021-01-01,"h17v03",2022294172643,1,"BB","Blanket Bog",0.3723,0.12,27.4,300,50,152,264,182,233,0.4923
-383622.95,6339971.25,463.312716528,1,1,57.0203,-6.335274,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2022001",2022-01-01,"h17v03",2023221171149,1,"BB","Blanket Bog",0.3571,0.12,27.9,305,64,147,280,192,241,0.4771
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2001001",2001-01-01,"h17v03",2022070180635,1,"BB","Blanket Bog",0.2794,0.1416,19.1,291,124,161,274,198,249,0.421
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2002001",2002-01-01,"h17v03",2022075075940,1,"BB","Blanket Bog",0.3511,0.12,25,331,103,146,286,179,243,0.4711
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2003001",2003-01-01,"h17v03",2022078114550,1,"BB","Blanket Bog",0.3024,0.1352,23.9,314,38,139,289,176,226,0.4376
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2004001",2004-01-01,"h17v03",2022081153530,1,"BB","Blanket Bog",0.3447,0.1278,20.3,310,115,150,272,177,227,0.4725
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2005001",2005-01-01,"h17v03",2022083212811,1,"BB","Blanket Bog",0.3562,0.12,24.5,303,65,149,282,181,238,0.4762
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2006001",2006-01-01,"h17v03",2022084115002,1,"BB","Blanket Bog",0.3521,0.12,26,300,63,155,281,191,245,0.4721
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2007001",2007-01-01,"h17v03",2022085224510,1,"BB","Blanket Bog",0.3423,0.12,29.1,298,58,137,270,179,235,0.4623
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2008001",2008-01-01,"h17v03",2022094210358,1,"BB","Blanket Bog",0.35,0.12,24,294,68,145,259,180,224,0.47
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2009001",2009-01-01,"h17v03",2022096100000,1,"BB","Blanket Bog",0.3431,0.12,26,301,70,140,278,179,235,0.4631
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2010001",2010-01-01,"h17v03",2022096153542,1,"BB","Blanket Bog",0.3505,0.12,26.6,303,55,152,276,186,237,0.4705
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2011001",2011-01-01,"h17v03",2022101042911,1,"BB","Blanket Bog",0.3268,0.12,28.6,307,48,140,282,187,236,0.4468
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2012001",2012-01-01,"h17v03",2022103200224,1,"BB","Blanket Bog",0.2792,0.2043,16.9,307,130,164,282,198,243,0.4835
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2013001",2013-01-01,"h17v03",2022105153143,1,"BB","Blanket Bog",0.2691,0.1611,18.3,307,39,163,287,190,253,0.4302
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2014001",2014-01-01,"h17v03",2022110133106,1,"BB","Blanket Bog",0.4043,0.12,28,315,64,143,276,176,223,0.5243
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2015001",2015-01-01,"h17v03",2022111220356,1,"BB","Blanket Bog",0.367,0.12,24.1,306,61,156,289,183,256,0.487
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2016001",2016-01-01,"h17v03",2022113070801,1,"BB","Blanket Bog",0.3372,0.12,27.1,309,53,148,285,181,243,0.4572
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2017001",2017-01-01,"h17v03",2022115023625,1,"BB","Blanket Bog",0.3717,0.12,28.4,303,56,146,270,184,231,0.4917
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2018001",2018-01-01,"h17v03",2022115212012,1,"BB","Blanket Bog",0.3357,0.1377,20.7,308,118,153,272,182,232,0.4734
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2019001",2019-01-01,"h17v03",2022116173038,1,"BB","Blanket Bog",0.3371,0.12,22.2,316,73,133,284,167,221,0.4571
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2020001",2020-01-01,"h17v03",2022117220647,1,"BB","Blanket Bog",0.368,0.12,28.8,301,72,143,280,182,246,0.488
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2021001",2021-01-01,"h17v03",2022294172643,1,"BB","Blanket Bog",0.376,0.12,26.7,286,56,156,257,185,231,0.496
-383159.62,6339971.25,463.312716528,1,1,57.0203,-6.327443,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2022001",2022-01-01,"h17v03",2023221171149,1,"BB","Blanket Bog",0.3209,0.2192,17.1,296,129,156,273,190,238,0.5401
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2001001",2001-01-01,"h17v03",2022070180635,1,"BB","Blanket Bog",0.2754,0.12,19.5,313,61,157,287,187,242,0.3954
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2002001",2002-01-01,"h17v03",2022075075940,1,"BB","Blanket Bog",0.319,0.12,21.6,312,71,146,285,178,235,0.439
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2003001",2003-01-01,"h17v03",2022078114550,1,"BB","Blanket Bog",0.2954,0.1277,26,300,37,135,276,169,240,0.4231
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2004001",2004-01-01,"h17v03",2022081153530,1,"BB","Blanket Bog",0.3261,0.12,22,321,82,149,264,182,231,0.4461
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2005001",2005-01-01,"h17v03",2022083212811,1,"BB","Blanket Bog",0.3368,0.12,20.1,302,113,156,277,188,238,0.4568
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2006001",2006-01-01,"h17v03",2022084115002,1,"BB","Blanket Bog",0.3316,0.12,25.2,290,75,155,273,192,244,0.4516
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2007001",2007-01-01,"h17v03",2022085224510,1,"BB","Blanket Bog",0.3229,0.12,20.7,288,79,141,263,174,222,0.4429
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2008001",2008-01-01,"h17v03",2022094210358,1,"BB","Blanket Bog",0.312,0.12,23.2,287,70,144,258,182,229,0.432
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2009001",2009-01-01,"h17v03",2022096100000,1,"BB","Blanket Bog",0.349,0.12,20.8,293,98,146,266,179,224,0.469
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2010001",2010-01-01,"h17v03",2022096153542,1,"BB","Blanket Bog",0.3421,0.12,24.4,303,72,156,271,191,235,0.4621
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2011001",2011-01-01,"h17v03",2022101042911,1,"BB","Blanket Bog",0.3111,0.12,22.5,302,56,142,275,179,222,0.4311
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2012001",2012-01-01,"h17v03",2022103200224,1,"BB","Blanket Bog",0.3516,0.12,23.9,295,86,154,270,191,235,0.4716
-385012.89,6340434.49,463.312716528,1,1,57.02479,-6.358766,"unique_pixel","MCD12Q2",2000-01-01,2024-06-01,TRUE,"A2013001",2013-01-01,"h17v03",2022105153143,1,"BB","Blanket Bog",0.3339,0.1219,22.8,298,90,164,272,195,239,0.4558
